Ageclass,Ageclass100,Rs,Rh,Ra,CH4,N2O,Severity,Severity1,Severity2,Permafrost,Region,Source
7,7,5.443753556,NA,NA,NA,NA,H,H,H,N,Alaska,"Allison et al., 2010"
8,8,5.732519344,NA,NA,NA,NA,H,H,H,N,Alaska,"Allison et al., 2010"
9,9,6.462319438,NA,NA,NA,NA,H,H,H,N,Alaska,"Allison et al., 2010"
3,3,7.712327011,NA,NA,NA,NA,H,H,H,N,Alaska,"Bergner et al., 2004"
3,3,8.644247858,NA,NA,NA,NA,L,L,L,N,Alaska,"Bergner et al., 2004"
4,4,1.667581425,1.747946795,0,NA,NA,H,H,H,N,Canada,"Bond-Lamberty et al., 2004a"
7,7,0.763471014,0.57260326,0.190867753,NA,NA,H,H,H,N,Canada,"Bond-Lamberty et al., 2004a"
13,13,2.541554822,1.526942027,1.014612795,NA,NA,H,H,H,N,Canada,"Bond-Lamberty et al., 2004a"
21,21,3.526030603,2.471235123,1.054795479,NA,NA,H,H,H,N,Canada,"Bond-Lamberty et al., 2004a"
38,38,2.822833616,2.139727973,0.683105644,NA,NA,H,H,H,N,Canada,"Bond-Lamberty et al., 2004a"
72,72,2.903198986,2.270321699,0.632877288,NA,NA,H,H,H,N,Canada,"Bond-Lamberty et al., 2004a"
152,100,2.370778411,2.069408274,0.301370137,NA,NA,H,H,Unburned,N,Canada,"Bond-Lamberty et al., 2004a"
0,0,7.9566739,NA,NA,-0.374266667,NA,H,H,H,N,Canada,"Burke et al., 1997"
80,80,8.1400074,NA,NA,-0.6416,NA,H,H,Unburned,N,Canada,"Burke et al., 1997"
80,80,8.6900079,NA,NA,-1.055966667,NA,H,H,Unburned,N,Canada,"Burke et al., 1997"
2,2,5.0600046,NA,NA,-0.855466667,NA,H,H,H,N,Canada,"Burke et al., 1997"
7,7,8.2500075,NA,NA,-0.989133333,NA,H,H,H,N,Canada,"Burke et al., 1997"
5,5,3.7400034,NA,NA,-1.7644,NA,H,H,H,N,Canada,"Burke et al., 1997"
0,0,2.965602696,1.82644166,1.139161036,NA,NA,H,H,H,Y,Canada,"Czimczik et al., 2006"
5,5,6.960806328,0.259600236,6.701206092,NA,NA,H,H,H,Y,Canada,"Czimczik et al., 2006"
14,14,4.327403934,0.246400224,4.08100371,NA,NA,H,H,H,Y,Canada,"Czimczik et al., 2006"
39,39,7.990407264,0.767360698,7.223046566,NA,NA,H,H,H,Y,Canada,"Czimczik et al., 2006"
73,73,6.245805678,3.436843124,2.808962554,NA,NA,H,H,Unburned,Y,Canada,"Czimczik et al., 2006"
1,1,64.12037829,NA,NA,NA,NA,H,H,H,N,Canada,Das Gupta and Mackenzie 2016
9,9,75.37629252,NA,NA,NA,NA,H,H,H,N,Canada,Das Gupta and Mackenzie 2016
72,72,101.9653407,NA,NA,NA,NA,H,H,Unburned,N,Canada,Das Gupta and Mackenzie 2016
154,100,6.750659071,1.698062097,5.052596974,NA,NA,H,H,Unburned,N,Canada,"Goulden et al., 2011"
74,74,4.962805078,2.048699685,2.914105393,NA,NA,H,H,H,N,Canada,"Goulden et al., 2011"
40,40,5.873763567,1.936975374,3.936788193,NA,NA,H,H,H,N,Canada,"Goulden et al., 2011"
23,23,5.80055379,2.052675536,3.747878253,NA,NA,H,H,H,N,Canada,"Goulden et al., 2011"
15,15,4.439742521,2.122599235,2.317143286,NA,NA,H,H,H,N,Canada,"Goulden et al., 2011"
6,6,4.471893308,NA,NA,NA,NA,H,H,H,N,Canada,"Goulden et al., 2011"
0,0,3.383424,NA,NA,NA,NA,L,L,L,N,China,"Hu et al., 2016"
100,100,3.079296,NA,NA,NA,NA,NA,NA,Unburned,N,China,"Hu et al., 2016"
5,5,12.241152,NA,NA,NA,NA,L,L,L,N,China,"Hu et al., 2017a"
5,5,11.100672,NA,NA,NA,NA,H,H,H,N,China,"Hu et al., 2017a"
100,100,15.434496,NA,NA,NA,NA,NA,NA,Unburned,N,China,"Hu et al., 2017a"
6,6,16.384896,11.556864,4.790016,NA,NA,L,L,L,N,China,"Hu et al., 2017b"
6,6,14.408064,11.59488,2.813184,NA,NA,H,H,H,N,China,"Hu et al., 2017b"
100,100,20.110464,14.940288,5.170176,NA,NA,NA,NA,Unburned,N,China,"Hu et al., 2017b"
100,100,4.224,NA,NA,-1.3634,1.056312,H,H,Unburned,Y,Alaska,Kim and Tanaka 2003
2,2,3.0624,NA,NA,-1.26716,0.9506808,H,H,H,Y,Alaska,Kim and Tanaka 2003
100,100,0.9504,NA,NA,-2.14936,0.8450496,H,H,Unburned,Y,Alaska,Kim and Tanaka 2003
0,0,0.7392,NA,NA,-1.65212,0.528156,H,H,H,Y,Alaska,Kim and Tanaka 2003
100,100,0.9504,NA,NA,-2.14936,0.8450496,H,H,Unburned,Y,Alaska,Kim and Tanaka 2003
1,1,0.6336,NA,NA,-0.59348,,H,H,H,Y,Alaska,Kim and Tanaka 2003
5,5,9.41971988,NA,NA,-1.607286498,5.91E-05,L,L,L,N,Northern Europe,"Köster et al., 2015a"
45,45,8.144531363,NA,NA,-1.348375188,0.000121014,L,L,L,N,Northern Europe,"Köster et al., 2015a"
75,75,10.7576896,NA,NA,-1.503990679,0.000119805,L,L,L,N,Northern Europe,"Köster et al., 2015a"
155,100,11.72700224,NA,NA,-1.035578615,-7.44E-05,L,L,Unburned,N,Northern Europe,"Köster et al., 2015a"
2,2,4.104,NA,NA,NA,NA,L,L,L,N,Northern Europe,"Köster et al., 2015b"
42,42,10.7568,NA,NA,NA,NA,L,L,L,N,Northern Europe,"Köster et al., 2015b"
60,60,12.4848,NA,NA,NA,NA,L,L,L,N,Northern Europe,"Köster et al., 2015b"
152,100,12.6144,NA,NA,NA,NA,L,L,Unburned,N,Northern Europe,"Köster et al., 2015b"
7,7,6.45408,NA,NA,NA,NA,H,H,H,N,Northern Europe,"Köster et al., 2016"
18,18,11.1888,NA,NA,NA,NA,H,H,H,N,Northern Europe,"Köster et al., 2016"
33,33,9.5904,NA,NA,NA,NA,H,H,H,N,Northern Europe,"Köster et al., 2016"
64,64,12.096,NA,NA,NA,NA,H,H,H,N,Northern Europe,"Köster et al., 2016"
75,75,13.7376,NA,NA,NA,NA,H,H,H,N,Northern Europe,"Köster et al., 2016"
178,100,11.4048,NA,NA,NA,NA,H,H,Unburned,N,Northern Europe,"Köster et al., 2016"
3,3,22.37078838,NA,NA,-0.766943906,0.122735342,H,H,H,Y,Canada,"Köster et al., 2017"
25,25,54.31369295,NA,NA,-1.647164602,0.061219726,H,H,H,Y,Canada,"Köster et al., 2017"
46,46,65.17643154,NA,NA,-0.244311201,0.093974795,H,H,H,Y,Canada,"Köster et al., 2017"
100,100,38.073361,NA,NA,-0.181135936,0.139246027,H,H,Unburned,Y,Canada,"Köster et al., 2017"
1,1,4.035921846,NA,NA,-1.817814993,NA,H,H,H,Y,Siberia,"Köster et al., 2018"
23,23,17.18054358,NA,NA,-1.320294435,NA,H,H,H,Y,Siberia,"Köster et al., 2018"
56,56,24.14365569,NA,NA,-1.194098463,NA,H,H,H,Y,Siberia,"Köster et al., 2018"
100,100,15.24828893,NA,NA,-1.486526443,NA,H,H,Unburned,Y,Siberia,"Köster et al., 2018"
0,0,18.285696,NA,NA,-2.06492544,NA,H,H,H,N,Northern Europe,"Kulmala et al., 2014"
1,1,11.860992,NA,NA,-3.6725184,NA,H,H,H,N,Northern Europe,"Kulmala et al., 2014"
2,2,10.606464,NA,NA,-2.2866624,NA,H,H,H,N,Northern Europe,"Kulmala et al., 2014"
3,3,12.203136,NA,NA,-2.23122816,NA,H,H,H,N,Northern Europe,"Kulmala et al., 2014"
100,100,19.312128,NA,NA,-2.03720832,NA,NA,NA,Unburned,N,Northern Europe,"Kulmala et al., 2014"
100,100,22.771584,NA,NA,-3.6725184,NA,NA,NA,Unburned,N,Northern Europe,"Kulmala et al., 2014"
100,100,15.662592,NA,NA,-3.1874688,NA,NA,NA,Unburned,N,Northern Europe,"Kulmala et al., 2014"
100,100,14.484096,NA,NA,-2.92415616,NA,NA,NA,Unburned,N,Northern Europe,"Kulmala et al., 2014"
6,6,4.13600376,NA,NA,-2.91928,0,H,H,H,Y,Siberia,"Morishita et al., 2015"
6,6,6.86400624,NA,NA,-2.0852,0,H,H,H,Y,Siberia,"Morishita et al., 2015"
11,11,11.26401024,NA,NA,-1.53984,0.271493157,L,L,L,Y,Siberia,"Morishita et al., 2015"
90,90,7.9200072,NA,NA,-1.66816,0.015082953,NA,NA,Unburned,Y,Siberia,"Morishita et al., 2015"
80,80,3.1533362,NA,NA,NA,NA,H,H,Unburned,Y,Alaska,"O'Donnell et al., 2009"
2,2,3.1533362,NA,NA,NA,NA,H,H,H,Y,Alaska,"O'Donnell et al., 2009"
7,7,12.17366922,NA,NA,NA,NA,H,H,H,N,Alaska,"O'Neill et al., 2002"
100,100,22.47201834,NA,NA,NA,NA,H,H,Unburned,N,Alaska,"O'Neill et al., 2002"
7,7,12.9885171,NA,NA,NA,NA,H,H,H,N,Alaska,"O'Neill et al., 2002"
100,100,22.89666778,NA,NA,NA,NA,H,H,Unburned,N,Alaska,"O'Neill et al., 2002"
7,7,12.43779234,NA,NA,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2002"
100,100,14.9425056,NA,NA,NA,NA,H,H,Unburned,Y,Alaska,"O'Neill et al., 2002"
1,1,8.16,NA,NA,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2003"
3,3,9.12,NA,NA,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2003"
7,7,12.24,NA,NA,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2003"
10,10,11.28,NA,NA,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2003"
80,80,13.92,NA,NA,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2003"
140,100,22.08,NA,NA,NA,NA,NA,H,Unburned,Y,Alaska,"O'Neill et al., 2003"
1,1,9.12,9.6,0,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2006"
3,3,9.6,6.48,3.12,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2006"
7,7,13.2,6.72,6.48,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2006"
10,10,11.28,2.16,9.12,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2006"
80,80,16.56,1.92,14.64,NA,NA,H,H,H,Y,Alaska,"O'Neill et al., 2006"
140,100,23.28,2.64,20.64,NA,NA,H,H,Unburned,Y,Alaska,"O'Neill et al., 2006"
8,8,7.36992,NA,NA,-1.289088,-0.10368,H,H,H,N,Northern Europe,"Ribeiro-Kumara et al., 2019"
19,19,14.33376,NA,NA,-1.098144,-0.060048,H,H,H,N,Northern Europe,"Ribeiro-Kumara et al., 2019"
34,34,13.76352,NA,NA,-1.017792,0.0696384,H,H,H,N,Northern Europe,"Ribeiro-Kumara et al., 2019"
65,65,18.38592,NA,NA,-0.990144,0.00772416,H,H,H,N,Northern Europe,"Ribeiro-Kumara et al., 2019"
76,76,21.2544,NA,NA,-1.194048,-0.0543456,H,H,H,N,Northern Europe,"Ribeiro-Kumara et al., 2019"
179,100,16.85664,NA,NA,-0.662688,-0.00762048,H,H,Unburned,N,Northern Europe,"Ribeiro-Kumara et al., 2019"
100,100,15.8112,NA,NA,NA,NA,NA,NA,Unburned,Y,Siberia,"Sawamoto et al., 2000"
100,100,15.984,NA,NA,NA,NA,NA,NA,Unburned,Y,Siberia,"Sawamoto et al., 2000"
1,1,8.5536,NA,NA,NA,NA,L,L,L,Y,Siberia,"Sawamoto et al., 2000"
5,5,5.7024,NA,NA,NA,NA,H,H,H,Y,Siberia,"Sawamoto et al., 2000"
5,5,4.0608,NA,NA,NA,NA,H,H,H,Y,Siberia,"Sawamoto et al., 2000"
1,1,6.9984,4.1472,2.8512,-1.33056,NA,L,L,L,Y,Siberia,"Sawamoto et al., 2001"
5,5,5.2704,5.2704,0,-0.546048,NA,H,H,H,Y,Siberia,"Sawamoto et al., 2001"
24,24,13.0464,3.024,10.0224,-0.44496,NA,H,H,H,Y,Siberia,"Sawamoto et al., 2001"
100,100,13.9104,1.6416,12.2688,-0.48384,NA,NA,NA,Unburned,Y,Siberia,"Sawamoto et al., 2001"
6,6,8.034048,NA,NA,NA,NA,H,H,H,N,Canada,"Singh et al., 2008"
15,15,12.253824,NA,NA,NA,NA,H,H,H,N,Canada,"Singh et al., 2008"
27,27,11.062656,NA,NA,NA,NA,H,H,H,N,Canada,"Singh et al., 2008"
0,0,2.128896,NA,NA,NA,NA,H,H,H,N,Canada,"Smith et al., 2010"
16,16,3.23136,NA,NA,NA,NA,H,H,H,N,Canada,"Smith et al., 2010"
59,59,7.375104,NA,NA,NA,NA,H,H,H,N,Canada,"Smith et al., 2010"
117,100,24.38433969,NA,NA,-0.305421342,NA,NA,H,Unburned,Y,China,"Song et al., 2017"
7,7,31.69218462,NA,NA,-1.467408295,NA,H,H,H,Y,China,"Song et al., 2017"
117,100,39.77350892,NA,NA,-4.865953625,NA,NA,H,Unburned,Y,China,"Song et al., 2017"
7,7,54.65092431,NA,NA,-10.91095089,NA,H,H,H,Y,China,"Song et al., 2017"
117,100,25.0225279,NA,NA,-0.245768859,NA,H,H,Unburned,Y,China,"Song et al., 2018"
7,7,32.35333937,NA,NA,0.101052115,NA,H,H,H,Y,China,"Song et al., 2018"
117,100,23.63090389,NA,NA,-1.055098103,NA,H,H,Unburned,Y,China,"Song et al., 2018"
8,8,31.67797579,NA,NA,-0.287635685,NA,H,H,H,Y,China,"Song et al., 2018"
1,1,15.11653347,NA,NA,NA,NA,L,L,L,N,China,"Sun et al., 2014"
100,100,16.73345837,NA,NA,NA,NA,L,L,Unburned,N,China,"Sun et al., 2014"
1,1,14.91255161,NA,NA,NA,NA,L,L,L,N,China,"Sun et al., 2014"
100,100,16.57812358,NA,NA,NA,NA,L,L,Unburned,N,China,"Sun et al., 2014"
200,100,15.13601376,NA,NA,-0.128236601,0.013002546,H,H,Unburned,Y,Siberia,"Takakai et al., 2008"
4,4,15.66401424,NA,NA,-0.062906046,0.089244746,H,H,H,Y,Siberia,"Takakai et al., 2008"
2,2,3.6419328,NA,NA,NA,NA,NA,H,H,Y,Canada,"Wang et al., 2003"
5,5,7.375104,NA,NA,NA,NA,NA,H,H,Y,Canada,"Wang et al., 2003"
11,11,6.614784,NA,NA,NA,NA,NA,H,H,Y,Canada,"Wang et al., 2003"
19,19,7.489152,NA,NA,NA,NA,NA,H,H,Y,Canada,"Wang et al., 2003"
36,36,6.27264,NA,NA,NA,NA,NA,H,H,Y,Canada,"Wang et al., 2003"
70,70,4.752,NA,NA,NA,NA,NA,H,H,Y,Canada,"Wang et al., 2003"
130,100,4.257792,NA,NA,NA,NA,NA,H,Unburned,Y,Canada,"Wang et al., 2003"
